country,year,sex,age,suicides_no,population,HDI for year,gdp_for_year,generation
Albania,1987,male,15-24 years,21,312900,,2156624899,Generation X
Albania,1987,male,35-54 years,16,308000,,2156624900,Silent
Albania,1987,female,15-24 years,14,289700,,2156624900,Generation X
Albania,1987,male,75+ years,1,21800,,2156624900,G.I. Generation
Albania,1987,male,25-34 years,9,274300,,2156624900,Boomers
Albania,1987,female,75+ years,1,35600,,2156624900,G.I. Generation
Albania,1987,female,35-54 years,6,278800,,2156624900,Silent
Albania,1987,female,25-34 years,4,257200,,2156624900,Boomers
Albania,1987,male,55-74 years,1,137500,,2156624900,G.I. Generation
Albania,1987,female,5-14 years,0,311000,,2156624900,Generation X
Albania,1987,female,55-74 years,0,144600,,2156624900,G.I. Generation
Albania,1987,male,5-14 years,0,338200,,2156624900,Generation X
Albania,1988,female,75+ years,2,36400,,2126000000,G.I. Generation
Albania,1988,male,15-24 years,17,319200,,2126000000,Generation X
Albania,1988,male,75+ years,1,22300,,2126000000,G.I. Generation
Albania,1988,male,35-54 years,14,314100,,2126000000,Silent
Albania,1988,male,55-74 years,4,140200,,2126000000,G.I. Generation
Albania,1988,female,15-24 years,8,295600,,2126000000,Generation X
Albania,1988,female,55-74 years,3,147500,,2126000000,G.I. Generation
Albania,1988,female,25-34 years,5,262400,,2126000000,Boomers
Albania,1988,male,25-34 years,5,279900,,2126000000,Boomers
Albania,1988,female,35-54 years,4,284500,,2126000000,Silent
Albania,1988,female,5-14 years,0,317200,,2126000000,Generation X
Albania,1988,male,5-14 years,0,345000,,2126000000,Generation X
Albania,1989,male,75+ years,2,22500,,2335124988,G.I. Generation
Albania,1989,male,25-34 years,18,283600,,2335124988,Boomers
Albania,1989,male,35-54 years,15,318400,,2335124988,Silent
Albania,1989,male,55-74 years,6,142100,,2335124988,G.I. Generation
Albania,1989,male,15-24 years,12,323500,,2335124988,Generation X
Albania,1989,female,35-54 years,7,288600,,2335124988,Silent
Albania,1989,female,15-24 years,5,299900,,2335124988,Generation X
Albania,1989,female,25-34 years,2,266300,,2335124988,Boomers
Albania,1989,female,55-74 years,1,149600,,2335124988,G.I. Generation
Albania,1989,female,5-14 years,0,321900,,2335124988,Generation X
Albania,1989,female,75+ years,0,37000,,2335124988,G.I. Generation
Albania,1989,male,5-14 years,0,349700,,2335124988,Generation X
Albania,1992,male,35-54 years,12,343800,,709452584,Boomers
Albania,1992,male,15-24 years,9,263700,,709452584,Generation X
Albania,1992,male,55-74 years,5,159500,,709452584,Silent
Albania,1992,male,25-34 years,7,245500,,709452584,Boomers
Albania,1992,female,15-24 years,7,292400,,709452584,Generation X
Albania,1992,female,25-34 years,4,267400,,709452584,Boomers
Albania,1992,female,35-54 years,2,323100,,709452584,Boomers
Albania,1992,female,55-74 years,1,164900,,709452584,Silent
Albania,1992,female,5-14 years,0,336700,,709452584,Millenials
Albania,1992,female,75+ years,0,38700,,709452584,G.I. Generation
Albania,1992,male,5-14 years,0,362900,,709452584,Millenials
Albania,1992,male,75+ years,0,23900,,709452584,G.I. Generation
Albania,1993,male,15-24 years,18,243300,,1228071038,Generation X
Albania,1993,male,55-74 years,7,165000,,1228071038,Silent
